Reporting Fiscal Year,Agency,Agency Name,Resource indicators,Previous FY Actual,Current FY Plan,Current FY Updated Plan,Next FY Plan,Previous FY 4-Month Actual,Current FY 4-Month Actual,Notes
2022,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Capital commitments ($000,000)",$233.20,$389.80,$315.10,$273.30,$18.50,$13.60,
2022,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Expenditures ($000,000)",$185.10,$230.10,$232.10,$145.50,$84.40,$116.90,Includes all funds.
2022,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Personnel,66,69,68,60,65,62,
2022,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Overtime paid ($000),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
2022,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Capital commitments ($000,000)",$126.40,$175.10,$147.20,$100.70,$3.60,$9.40,
2022,DCP,DEPARTMENT OF CITY PLANNING,"Expenditures ($000,000)",$38.70,$45.00,$281.40,$239.00,$21.30,$18.80,Includes all funds.
2022,DCP,DEPARTMENT OF CITY PLANNING,"Revenues ($000,000)",$5.40,$2.00,$2.00,$2.00,$1.20,$0.90,
2022,DCP,DEPARTMENT OF CITY PLANNING,Personnel,291,380,371,363,304,281,
2022,DCP,DEPARTMENT OF CITY PLANNING,Overtime paid ($000),$55.00,$32.00,$32.00,$32.00,$0.00,$7.00,
2022,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Expenditures ($000,000)",$349.80,$211.90,$309.10,$160.80,$127.90,$105.80,Includes all funds.
2022,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Revenues ($000),$118.80,$150.00,$150.00,$150.00,$13.90,$0.20,
2022,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Personnel,"1,215","1,335","1,352","1,315","1,243","1,197",
2022,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Overtime paid ($000,000)",$1.20,$1.10,$1.10,$1.10,$0.40,$0.30,
2022,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Capital commitments (capital projects managed for client agencies) ($000,000)","$1,557.80","$2,869.20","$1,750.40",$0.00,$0.00,$0.00,
2022,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Expenditures ($000,000)","$1,410.30","$1,530.20","$1,591.10","$1,479.70",$579.00,$626.40,Includes all funds.
2022,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Revenues ($000,000)",$21.30,$18.90,$18.90,$18.90,$5.40,$5.90,DEP revenues shown here do not include any of the approximately $1.5 billion the City receives annually from the NYC Water Board in reimbursement for operations & maintenance and in rent.
2022,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,Personnel,"5,833","6,429","6,509","6,578","5,990","5,800",
2022,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Overtime paid ($000,000)",$43.30,$44.50,$46.70,$44.60,$12.30,$17.00,
2022,DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION,"Capital commitments ($000,000)","$1,758.20","$3,068.30","$2,336.50","$2,737.50",$182.10,$122.60,
2022,DFTA,DEPARTMENT FOR THE AGING,"Expenditures ($000,000)",$355.60,$487.20,$564.80,$459.70,$221.80,$235.60,Includes all funds.
2022,DFTA,DEPARTMENT FOR THE AGING,"Revenues ($000,000)",$1.30,$1.00,$1.70,$1.00,$0.80,$0.40,
2022,DFTA,DEPARTMENT FOR THE AGING,Personnel,628,689,512,383,642,429,Personnel’ includes the full-time equivalent of non-DFTA employees who are older New Yorkers participating in DFTA’s Senior Employment (Title V) program.
2022,DFTA,DEPARTMENT FOR THE AGING,Overtime paid ($000),$75.00,$0.00,$17.00,$0.00,$3.00,$8.00,
2022,DFTA,DEPARTMENT FOR THE AGING,"Capital commitments ($000,000)",$2.30,$5.80,$14.10,$4.60,$0.00,$0.10,
2022,DFTA,DEPARTMENT FOR THE AGING,"Human services contract budget ($000,000)",$304.60,$289.30,$460.80,$288.80,$140.90,$126.70,
2022,DHS,DEPARTMENT OF HOMELESS SERVICES,"Expenditures ($000,000)","$3,044.50","$2,211.00","$2,766.10","$2,151.40","$1,904.50","$1,701.40",Includes all funds.
2022,DHS,DEPARTMENT OF HOMELESS SERVICES,Personnel,"2,005","2,417","2,374","1,993","2,083","1,981",
2022,DHS,DEPARTMENT OF HOMELESS SERVICES,"Overtime paid ($000,000)",$19.80,$3.90,$17.30,$3.80,$5.10,$5.40,
2022,DHS,DEPARTMENT OF HOMELESS SERVICES,"Capital commitments ($000,000)",$20.10,$54.60,$64.70,$69.60,$2.30,$2.20,
2022,DHS,DEPARTMENT OF HOMELESS SERVICES,"Human services contract budget ($000,000)","$2,709.50","$1,880.10","$2,447.10","$1,854.70",$818.00,$715.90,
2022,DOB,DEPARTMENT OF BUILDINGS,"Expenditures ($000,000)",$197.30,$235.10,$243.40,$216.10,$71.80,$74.80,Includes all funds.
2022,DOB,DEPARTMENT OF BUILDINGS,"Revenues ($000,000)",$314.30,$339.20,$340.80,$338.60,$106.60,$107.40,
2022,DOB,DEPARTMENT OF BUILDINGS,Personnel,"1,672","2,030","2,041","1,969","1,693","1,617",
2022,DOB,DEPARTMENT OF BUILDINGS,"Overtime paid ($000,000)",$6.40,$3.00,$5.00,$3.00,$2.10,$2.20,
2022,DOC,DEPARTMENT OF CORRECTION,"Expenditures ($000,000)","$1,259.30","$1,177.00","$1,336.20","$1,229.60",$421.00,$466.10,Includes all funds.
2022,DOC,DEPARTMENT OF CORRECTION,"Revenues ($000,000)",$11.40,$15.50,$11.50,$15.50,$3.20,$3.90,
2022,DOC,DEPARTMENT OF CORRECTION,Personnel (uniformed),"8,388","7,460","7,460","7,060","8,996","7,842",
2022,DOC,DEPARTMENT OF CORRECTION,Personnel (civilian),"1,661","1,911","2,035","2,031","1,752","1,621",
2022,DOC,DEPARTMENT OF CORRECTION,"Overtime paid ($000,000)",$153.20,$87.70,$139.70,$132.70,$26.60,$75.60,
2022,DOC,DEPARTMENT OF CORRECTION,"Capital commitments ($000,000)",$62.00,$785.70,$821.90,"$1,364.40",$1.50,$9.00,
2022,DOE,DEPARTMENT OF EDUCATION,"Expenditures ($000,000)","$28,545.10","$31,565.40","$32,050.00","$30,739.20","$11,013.60","$12,694.10",Includes all funds.
2022,DOE,DEPARTMENT OF EDUCATION,"Revenues ($000,000)",$26.00,$52.70,$52.70,$52.70,$3.70,$19.60,
2022,DOE,DEPARTMENT OF EDUCATION,Personnel,"144,323","155,062","154,939","154,078","145,151","138,980",
2022,DOE,DEPARTMENT OF EDUCATION,"Overtime paid ($000,000)",$18.00,$15.30,$32.30,$15.30,$2.70,$4.70,
2022,DOE,DEPARTMENT OF EDUCATION,"Human services contract budget ($000,000)","$1,298.40","$1,352.00","$1,455.80","$1,358.40",$333.60,$521.30,
2022,DOF,DEPARTMENT OF FINANCE,"Expenditures ($000,000)",$301.10,$339.20,$336.40,$349.00,$129.40,$121.80,Includes all funds.
2022,DOF,DEPARTMENT OF FINANCE,"Revenues ($000,000)",$877.40,$899.70,$933.10,$903.40,$264.00,$334.80,
2022,DOF,DEPARTMENT OF FINANCE,Personnel,"1,935","2,187","2,035","2,044","1,992","1,871",
2022,DOF,DEPARTMENT OF FINANCE,Overtime paid ($000),"$7,796.00","$1,050.00","$4,543.00","$1,358.00","$2,344.00","$1,732.00",
2022,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Expenditures ($000,000)","$2,181.30","$2,261.50","$3,216.30","$2,067.30","$1,189.30","$1,432.60",Includes all funds.
2022,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Revenues ($000,000)",$29.30,$30.40,$28.40,$30.40,$8.40,$10.70,
2022,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,Personnel,"6,542","7,344","7,350","7,101","6,687","6,294",
2022,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Overtime paid ($000,000)",$46.50,$23.30,$18.60,$5.70,$8.40,$7.40,
2022,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Capital commitments ($000,000)",$59.30,$323.10,$335.40,$435.30,$49.80,$53.90,
2022,DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"Human services contract budget ($000,000)",$713.50,$830.90,$877.40,$817.30,$247.90,$256.40,
2022,DOI,DEPARTMENT OF INVESTIGATION,"Expenditures ($000,000)",$51.40,$53.20,$58.30,$49.20,$30.20,$29.30,Includes all funds.
2022,DOI,DEPARTMENT OF INVESTIGATION,"Revenues ($000,000)",$1.70,$3.40,$1.60,$2.40,$0.20,$0.70,
2022,DOI,DEPARTMENT OF INVESTIGATION,Personnel,332,365,354,332,352,314,
2022,DOI,DEPARTMENT OF INVESTIGATION,Overtime paid ($000),$146.00,$105.00,$376.00,$105.00,$28.00,$161.00,
2022,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,"Expenditures ($000,000)",$970.70,$746.90,$968.70,$706.90,$410.90,$524.90,Includes all funds.
2022,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,"Revenues ($000,000)",$172.10,$143.50,$167.60,$146.20,$39.60,$61.10,
2022,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,Personnel,"1,646","1,859","1,756","1,734","1,645","1,602",
2022,OTI,OFFICE OF TECHNOLOGY AND INNOVATION,Overtime paid ($000),"$1,262.00",$315.00,$626.00,$315.00,$651.00,$278.00,
2022,DOP,DEPARTMENT OF PROBATION,"Expenditures ($000,000)",$117.50,$125.00,$125.20,$119.30,$55.70,$53.40,Includes all funds.
2022,DOP,DEPARTMENT OF PROBATION,Revenues ($000),$379.30,$452.00,$252.00,$452.00,$93.90,$70.30,
2022,DOP,DEPARTMENT OF PROBATION,Personnel,"1,068","1,138","1,097","1,096","1,096","1,049",
2022,DOP,DEPARTMENT OF PROBATION,Overtime paid ($000),"$1,506.00","$1,861.00","$3,061.00","$1,861.00",$424.00,$188.00,
2022,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,"Expenditures ($000,000)",$11.00,$16.90,$17.40,$16.10,$5.10,$1.80,Includes all funds.
2022,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,"Revenues ($000,000)",$0.80,$0.90,$0.90,$0.90,$0.30,$0.20,
2022,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,Personnel,61,68,64,61,70,61,
2022,DORIS,DEPARTMENT OF RECORDS & INFORMATION SVS,Overtime paid ($000),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,
2022,DOT,DEPARTMENT OF TRANSPORTATION,"Expenditures ($000,000)","$1,142.20","$1,265.80","$1,314.60","$1,329.20",$522.80,$582.00,Includes all funds.
2022,DOT,DEPARTMENT OF TRANSPORTATION,"Revenues ($000,000)",$386.70,$448.00,$445.50,$455.20,$92.20,$106.20,
2022,DOT,DEPARTMENT OF TRANSPORTATION,Personnel,"5,559","5,981","6,001","6,021","5,636","5,596",
2022,DOT,DEPARTMENT OF TRANSPORTATION,"Overtime paid ($000,000)",$63.20,$51.40,$59.50,$52.20,$18.30,$21.70,
2022,DOT,DEPARTMENT OF TRANSPORTATION,"Capital commitments ($000,000)",$660.30,"$2,436.30","$2,111.30","$2,474.90",$66.10,$321.70,
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,"Expenditures ($000,000)",$526.60,$619.90,$638.40,$557.10,$196.60,$211.50,Includes all funds.
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,"Revenues ($000,000)",$23.40,$40.10,$40.50,$65.20,$6.80,$18.00,
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,Personnel (Total FT and FTE),"6,026","7,213","8,731","7,309","6,307","6,411",
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,Full-time equivalent (FTE) personnel,"2,021","4,460","4,504","3,215","2,135","2,507",
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,Parks Opportunity Program (POP) participants,779,"1,603","1,029","1,603",720,730,"The Parks Opportunity Program participants, reflected as full-time equivalents, are a subtotal of the Department's total Personnel count."
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,"Overtime paid ($000,000)",$24.80,$16.40,$16.50,$15.10,$10.00,$10.50,
2022,DPR,DEPARTMENT OF PARKS AND RECREATION,"Capital commitments ($000,000)",$483.50,"$1,205.50",$888.70,$577.50,$22.40,$77.10,
2022,DSNY,DEPARTMENT OF SANITATION,"Expenditures ($000,000)","$2,378.70","$1,843.60","$1,919.60","$1,783.40","$1,020.20",$848.20,Includes all funds.
2022,DSNY,DEPARTMENT OF SANITATION,"Revenues ($000,000)",$23.30,$15.30,$18.60,$17.40,$6.20,$5.50,
2022,DSNY,DEPARTMENT OF SANITATION,Personnel (uniformed),"7,220","7,483","7,482","7,391","7,523","7,817",
2022,DSNY,DEPARTMENT OF SANITATION,Personnel (civilian),"2,109","2,481","2,185","2,289","2,142","2,078",
2022,DSNY,DEPARTMENT OF SANITATION,"Overtime paid ($000,000)",$283.00,$135.60,$178.70,$113.50,$65.70,$81.10,
2022,DSNY,DEPARTMENT OF SANITATION,"Capital commitments ($000,000)",$242.80,$209.40,$213.00,$362.20,$4.10,$13.90,
2022,DVS,DEPARTMENT OF VETERANS' SERVICES,"Expenditures ($000,000)",$5.40,$6.20,$6.00,$6.10,$1.70,$1.70,Includes all funds.
2022,DVS,DEPARTMENT OF VETERANS' SERVICES,Personnel,39,44,41,40,40,39,
2022,DVS,DEPARTMENT OF VETERANS' SERVICES,Overtime paid ($000),$5.00,$0.00,$32.00,$0.00,$2.00,$2.00,
2022,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,"Expenditures ($000,000)",$859.40,"$1,016.20","$1,046.50",$862.90,$488.90,$604.80,Includes all funds.
2022,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,Personnel,518,537,530,510,547,497,
2022,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,Overtime paid ($000),$314.00,$154.00,$307.00,$154.00,$11.00,$73.00,
2022,DYCD,DEPARTMENT OF YOUTH & COMMUNITY DEV,"Human services contract budget ($000,000)",$743.30,$778.50,$781.70,$591.80,$156.20,$234.40,
2022,EDC,ECONOMIC DEVELOPMENT CORPORATION,Personnel,489,501,516,516,510,462,
2022,EDC,ECONOMIC DEVELOPMENT CORPORATION,"Capital commitments ($000,000)",$390.60,"$1,100.90","$1,067.40",$699.30,$57.70,$90.60,
2022,FDNY,FIRE DEPARTMENT,"Expenditures ($000,000)","$2,235.40","$2,172.40","$2,314.10","$2,151.00",$751.10,$875.50,Includes all funds.
2022,FDNY,FIRE DEPARTMENT,"Revenues ($000,000)",$95.10,$103.50,$86.40,$103.50,$37.40,$37.80,
2022,FDNY,FIRE DEPARTMENT,Personnel (uniformed),"10,750","10,945","10,945","10,952","10,928","10,628",
2022,FDNY,FIRE DEPARTMENT,Personnel (civilian),"6,390","6,512","6,383","6,411","6,327","6,394",
2022,FDNY,FIRE DEPARTMENT,"Overtime paid ($000,000)",$325.60,$247.30,$305.40,$242.10,$92.60,$129.40,
2022,FDNY,FIRE DEPARTMENT,"Capital commitments ($000,000)",$115.20,$207.10,$204.30,$327.10,$44.30,$61.30,
2022,H + H,HEALTH AND HOSPITALS CORP,"Expenditures ($000,000)","$11,134.00","$10,412.50","$10,412.50","$8,873.60","$3,576.30","$3,737.20",Includes all funds.
2022,H + H,HEALTH AND HOSPITALS CORP,"Revenues ($000,000)","$11,920.60","$11,187.70","$11,187.70","$9,626.70","$3,549.50","$3,581.80",
2022,H + H,HEALTH AND HOSPITALS CORP,Personnel,"40,062","37,272","37,272","37,272","39,863","39,731",
2022,H + H,HEALTH AND HOSPITALS CORP,"Overtime paid ($000,000)",$192.30,$153.60,$164.30,$164.30,$62.60,$73.80,
2022,H + H,HEALTH AND HOSPITALS CORP,"Capital commitments ($000,000)",$369.60,$640.50,$892.40,$847.70,$115.30,$93.80,
2022,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Expenditures ($000,000)","$1,129.90","$1,167.70","$1,335.70","$1,045.80",$648.00,$500.20,Includes all funds.
2022,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Revenues ($000,000)",$62.30,$39.10,$77.20,$38.90,$21.10,$45.40,
2022,HPD,HOUSING AND PRESERVATION DEVELOPMENT,Personnel,"2,335","2,633","2,672","2,653","2,414","2,313",
2022,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Overtime paid ($000,000)",$2.90,$2.20,$2.20,$2.20,$0.40,$0.70,
2022,HPD,HOUSING AND PRESERVATION DEVELOPMENT,"Capital commitments ($000,000)","$1,033.80","$1,754.80","$1,521.30","$1,726.90",$111.30,$137.50,
2022,HRA,HUMAN RESOURCES ADMINISTRATION,"Expenditures ($000,000)","$10,093.50","$11,237.30","$11,338.40","$10,756.00","$3,641.90","$4,588.10",Includes all funds.
2022,HRA,HUMAN RESOURCES ADMINISTRATION,"Revenues ($000,000)",$80.10,$42.60,$42.60,$42.60,$21.60,$14.10,
2022,HRA,HUMAN RESOURCES ADMINISTRATION,Personnel,"11,913","13,642","13,050","12,938","12,329","11,698",
2022,HRA,HUMAN RESOURCES ADMINISTRATION,"Overtime paid ($000,000)",$52.70,$15.90,$56.20,$15.90,$13.40,$21.80,
2022,HRA,HUMAN RESOURCES ADMINISTRATION,"Capital commitments ($000,000)",$29.80,$194.60,$90.00,$152.10,($1.40),$7.10,
2022,HRA,HUMAN RESOURCES ADMINISTRATION,"Human services contract budget ($000,000)",$726.30,$907.90,$899.10,$771.20,$236.60,$208.60,
2022,LAW,LAW DEPARTMENT,"Expenditures ($000,000)",$263.10,$289.90,$281.40,$239.00,$91.90,$95.20,Includes all funds.
2022,LAW,LAW DEPARTMENT,"Revenues ($000,000)",$67.90,$21.30,$21.30,$21.30,$10.10,$4.80,
2022,LAW,LAW DEPARTMENT,Personnel,"1,705","1,920","1,854","1,833","1,770","1,658",
2022,LAW,LAW DEPARTMENT,Overtime paid ($000),$355.00,"$2,131.00","$2,150.00","$2,131.00",$164.00,$253.00,
2022,LIB,PUBLIC LIBRARIES,"Expenditures ($000,000)",$429.90,$431.90,$427.50,$418.10,$269.60,$256.60,Includes all funds.
2022,LIB,PUBLIC LIBRARIES,Personnel,"3,721","4,092","3,972","4,105","3,875","3,751",
2022,LIB,PUBLIC LIBRARIES,"Capital commitments ($000,000)",$45.80,$219.10,$205.20,$212.60,$7.60,$41.40,
2022,LPC,LANDMARKS PRESERVATION COMM.,"Expenditures ($000,000)",$6.40,$6.80,$7.20,$6.80,$2.10,$2.10,Includes all funds.
2022,LPC,LANDMARKS PRESERVATION COMM.,"Revenues ($000,000)",$6.20,$6.10,$6.30,$6.10,$2.10,$2.90,
2022,LPC,LANDMARKS PRESERVATION COMM.,Personnel,70,79,74,74,77,69,
2022,LPC,LANDMARKS PRESERVATION COMM.,Overtime paid ($000),$3.00,$7.00,$7.00,$7.00,$0.00,$0.00,
2022,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,"Expenditures ($000,000)",$289.50,$54.20,$781.10,$59.40,$239.50,$316.50,Includes all funds.
2022,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,Personnel,197,66,233,85,196,195,
2022,NYCEM,DEPARTMENT OF EMERGENCY MANAGEMENT,Overtime paid ($000),"$1,119.00",$184.00,"$1,235.00",$184.00,$561.00,$541.00,
2022,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Expenditures ($000,000)","$4,035.30","$4,083.70","$4,083.70","$4,062.80","$1,183.80","$1,351.70",Includes all funds.
2022,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Revenues ($000,000)","$3,948.40","$4,058.30","$4,058.30","$3,762.70","$1,251.20","$1,311.20",
2022,NYCHA,NEW YORK CITY HOUSING AUTHORITY,Personnel,"11,689","11,559","13,188","12,483","11,787","12,149",
2022,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Overtime paid ($000,000)",$155.70,$89.80,$89.80,$86.60,$45.60,$52.30,
2022,NYCHA,NEW YORK CITY HOUSING AUTHORITY,"Capital commitments ($000,000)",$103.10,$402.80,"$1,038.60",$587.50,($37.00),$38.50,
2022,NYPD,POLICE DEPARTMENT,"Expenditures ($000,000)","$5,542.40","$5,436.70","$5,611.40","$5,407.10","$1,810.60","$1,882.90",Includes all funds.
2022,NYPD,POLICE DEPARTMENT,"Revenues ($000,000)",$99.10,$104.00,$95.00,$98.70,$39.50,$34.20,
2022,NYPD,POLICE DEPARTMENT,Personnel (uniformed),"34,858","35,030","35,030","35,030","34,270","34,549",
2022,NYPD,POLICE DEPARTMENT,Personnel (civilian),"15,638","17,452","16,910","17,022","16,909","15,420",
2022,NYPD,POLICE DEPARTMENT,"Overtime paid ($000,000)",$483.80,$434.40,$513.00,$434.40,$123.50,$232.30,
2022,NYPD,POLICE DEPARTMENT,"Capital commitments ($000,000)",$192.00,$492.20,$304.90,$249.80,$21.80,$35.50,
2022,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,"Expenditures ($000,000)",$42.20,$52.00,$55.90,$67.80,$17.40,$17.00,Includes all funds.
2022,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,"Revenues ($000,000)",$120.30,$135.00,$132.70,$146.10,$33.90,$53.80,
2022,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,Personnel,350,484,537,551,355,347,
2022,OATH,OFFICE OF ADMIN TRIALS & HEARINGS,Overtime paid ($000),$116.00,$50.00,$50.00,$50.00,$22.00,$27.00,
2022,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,"Expenditures ($000,000)",$109.70,$90.00,$120.80,$89.10,$52.60,$37.10,This is a subtotal of the Department of Health and Mental Hygiene total. Includes all funds.
2022,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,Revenues ($000),$35.00,$50.00,$50.00,$50.00,$0.00,$0.20,This is a subtotal of the Department of Health and Mental Hygiene total.
2022,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,Personnel,667,768,767,753,715,676,This is a subtotal of the Department of Health and Mental Hygiene total.
2022,OCME,OFFICE OF CHIEF MEDICAL EXAMINER,"Overtime paid ($000,000)",$9.50,$2.50,$4.20,$2.50,$2.60,$2.40,This is a subtotal of the Department of Health and Mental Hygiene total.
2022,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Expenditures ($000,000)",$227.00,$397.70,$557.80,$178.60,$107.50,$173.50,Includes all funds.
2022,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Revenues ($000,000)",$0.20,$0.20,$0.20,$0.20,$0.10,$0.10,
2022,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,Personnel,277,361,343,330,301,270,
2022,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,Overtime paid ($000),$80.00,$65.00,$65.00,$65.00,$7.00,$35.00,
2022,SBS,DEPARTMENT OF SMALL BUSINESS SERVICES,"Human services contract budget ($000,000)",$36.60,$25.70,$39.30,$26.20,$3.70,$0.40,
2022,SCA,SCHOOL CONSTRUCTION AUTHORITY,Personnel,860,"1,059","1,059","1,059",855,849,Actuals are SCA actual comittments.
2022,SCA,SCHOOL CONSTRUCTION AUTHORITY,"Capital commitments ($000,000)","$3,302.50","$7,034.80","$5,079.30","$5,797.40",$302.30,$579.50,
2022,TLC,NYC TAXI AND LIMOUSINE COMM,"Expenditures ($000,000)",$53.20,$55.50,$168.00,$55.60,$20.70,$18.60,Includes all funds.
2022,TLC,NYC TAXI AND LIMOUSINE COMM,"Revenues ($000,000)",$55.70,$51.30,$48.40,$56.10,$20.80,$17.30,
2022,TLC,NYC TAXI AND LIMOUSINE COMM,Personnel,566,641,618,618,619,532,
2022,TLC,NYC TAXI AND LIMOUSINE COMM,Overtime paid ($000),$767.00,$807.00,$807.00,$807.00,$222.00,$176.00,
2021,311,311,"Expenditures ($000,000)",$45.20,$46.90,$47.40,$47.00,$19.20,$24.60,This is a subtotal of the Department of Information Technology and Telecommunications total. Includes all funds.
2021,311,311,Personnel,403,409,387,405,388,390,This is a subtotal of the Department of Information Technology and Telecommunications total.
2021,311,311,Overtime paid ($000),$400,$239,$239,$239,$44,$222,This is a subtotal of the Department of Information Technology and Telecommunications total.
2021,ACS,ADMIN FOR CHILDREN'S SERVICES,"Expenditures ($000,000)","$2,646.40","$2,658.50","$2,677.20","$2,646.20","$1,263.60","$1,116.30",Includes all funds.
2021,ACS,ADMIN FOR CHILDREN'S SERVICES,"Revenues ($000,000)",$8.00,$3.40,$3.40,$3.40,$4.90,$1.20,
2021,ACS,ADMIN FOR CHILDREN'S SERVICES,Personnel,"7,059","7,384","6,979","7,287","7,085","6,943",
2021,ACS,ADMIN FOR CHILDREN'S SERVICES,"Overtime paid ($000,000)",$39.40,$4.90,$34.90,$47.90,$14.00,$5.40,
2021,ACS,ADMIN FOR CHILDREN'S SERVICES,"Capital commitments ($000,000)",$30.80,$105.20,$67.20,$55.80,$14.50,($8.70),
2021,ACS,ADMIN FOR CHILDREN'S SERVICES,"Human services contract budget ($000,000)","$1,407.50","$1,356.30","$1,369.40","$1,358.80",$476.20,$396.80,
2021,BIC,BUSINESS INTEGRITY COMMISSION,"Expenditures ($000,000)",$8.80,$9.20,$9.00,$9.20,$4.40,$4.20,Includes all funds.
2021,BIC,BUSINESS INTEGRITY COMMISSION,"Revenues ($000,000)",$5.50,$4.90,$4.90,$6.80,$2.30,$2.00,
2021,BIC,BUSINESS INTEGRITY COMMISSION,Personnel,82,84,82,84,86,84,
2021,BIC,BUSINESS INTEGRITY COMMISSION,Overtime paid ($000),$172,$24,$106,$24,$40,$46,
2021,BOE,BOARD OF ELECTIONS,"Expenditures ($000,000)",$222.10,$135.60,$160.10,$135.80,$69.90,$63.60,Includes all funds.
2021,BOE,BOARD OF ELECTIONS,Revenues ($000),$34,$116,$39,$39,$9,$10,
2021,BOE,BOARD OF ELECTIONS,Personnel,883,"1,079","1,079","1,079",818,904,
2021,BOE,BOARD OF ELECTIONS,"Overtime paid ($000,000)",$11.50,$8.30,$8.30,$8.30,$2.90,$6.20,
2021,CCHR,COMMISSION ON HUMAN RIGHTS,"Expenditures ($000,000)",$12.20,$13.00,$12.60,$12.70,$4.80,$4.30,Includes all funds.
2021,CCHR,COMMISSION ON HUMAN RIGHTS,Personnel,128,139,129,137,130,127,
2021,CCHR,COMMISSION ON HUMAN RIGHTS,Overtime paid ($000),$0,$15,$15,$15,$0,$0,
2021,CCRB,COMMISSION ON HUMAN RIGHTS,"Expenditures ($000,000)",$19.70,$19.50,$19.70,$20.60,$6.10,$7.00,Includes all funds.
2021,CCRB,COMMISSION ON HUMAN RIGHTS,Personnel,203,219,228,236,191,193,
2021,CCRB,COMMISSION ON HUMAN RIGHTS,Overtime paid ($000),$343,$0,$25,$0,$142,$24,
2021,CUNY,CITY UNIVERSITY OF NEW YORK,"Expenditures ($000,000)","$1,255.10","$1,213.00","$1,320.80","$1,170.00",$336.20,$314.20,Includes all funds.
2021,CUNY,CITY UNIVERSITY OF NEW YORK,"Revenues ($000,000)",$365.50,$415.30,$415.30,$415.30,$61.80,$48.10,
2021,CUNY,CITY UNIVERSITY OF NEW YORK,Personnel,"8,314","10,286","10,287","10,111","10,281","8,776",
2021,CUNY,CITY UNIVERSITY OF NEW YORK,"Overtime paid ($000,000)",$5.20,$3.60,$3.80,$3.60,$1.90,$0.50,
2021,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,"Expenditures ($000,000)",$41.50,$43.50,$43.00,$43.20,$16.60,$21.90,Includes all funds.
2021,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,"Revenues ($000,000)",$22.10,$25.60,$17.30,$17.60,$9.60,$2.90,
